year;model_name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2030;reference path;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit;;;01.01.2023;;;;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kWh/l];[kgCO2e/l];[kgCO2e/l];;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;;[kWh/l];[kgCO2e/l];[kgCO2e/l];;;[g co2e/MJ];[g co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];;[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[kg co2e/kWh];[km];[km];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];;[kg CO2e];;;[kg CO2e];;;;
Quelle;;;FZ27.11,KBA;;;;;;ADAC;;;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN;DIN ;DIN ;;DIN ;DIN ;DIN ;;;;DIN ;DIN ;DIN ;;;BA IFKM ;eigene Umrechnung;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;Klimapfade 2.0 ;;Klimapfade 2.0 ;;;Klimapfade 2.0 ;;;;
description;;;;;icev+hev are one class;;;;;;;;;;;;;;;;;;;;an Gesamt Benzin;eigene Berechnung;;;;eigene Berechnung;;;;;;eigene Berechnung;;;;;;1kWh=3,6 MJ;;;;;;2,686 kg co2e/l;;;;;;;;;;;;;;referenzpfad 2030 * 0,68;;;referenzpfad 2030 * 0,68;;;;
vehicle_class;segments;used_model;vehicle_stock;shareontotalvehicles;share_on_total_vehicles_of_class;share_of_2022;total_number_of_cars_in_class;copy_share_on_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;energy_E5_kWh;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;energy_E10_kWh;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;share_D7_totaldiesel;energy_diesel_kWh;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;co2e_hvo_WtW_kwh;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;range_wltp;range_wltp_city;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;new_emission_targets_germany_2030_fleet;co2e_2025;emission_target_2030;co2e_2035;co2e_2040;emission_target_2045;co2e_2050;emission_target_de_30;emission_target_de_40;emission_target_de_45
icev;Mini;Fiat500;2512838,98;0,053626357;0,07773461;0,105097733;23909545,00;0,057017194;1177;1102;0;1102;23,625;1078,375;13739;gasoline;4,8;0;5,8;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Kleinwagen;Mini;6658670,38;0,142102314;0,205985799;0,278494232;23909545,00;0,151087555;1278;1203;0;1203;27;1176;13739;gasoline;5,6;0;6;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Kompaktklasse;Golf;8779556,65;0,18736403;0,271595362;0,367198817;23909545,00;0,199211205;1528;1453;0;1453;37,125;1415,875;13739;gasoline;4,7;0;6,1;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Mittelklasse;C-Klasse;4837951,81;0,10324646;0,392852212;0,395904403;12220000,00;0,097914279;1758;1683;0;1683;27;1656;13739;diesel;5,5;0;7,5;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;obereMittelklasse;A6;1252498,34;0,026729497;0,038746005;0,052384867;23909545,00;0,028419625;1972;1897;0;1897;43,875;1853,125;13739;gasoline;7,4;0;8,3;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;Oberklasse;A8;179718,07;0,003835353;0,005559574;0,007516583;23909545,00;0,004077866;2238;2163;0;2163;48,6;2114,4;13739;gasoline;9,5;0;10,5;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
icev;SUV;X1;3609355,79;0,077027061;0,11165533;0,150958782;23909545,00;0,081897543;1698;1623;0;1623;34,425;1588,575;13739;gasoline;5,1;0;6,1;7,2;82,5;1,7;4,5;42;0,95;8,8;2,3;2,8;0,05;8,64;2,18;2,72;0,045;2,3;1;9,97;2,48;3,15;0;0;51,31;184,716;0;0;0,17;0;0;0,07694;0;0,299;0;0;0;0;0;0;0;-20;-2,93;85000000000;;79560000000;;;28600000000;;5,78E+10;2,04E+10;0
