year;model_name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2035;high LCF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit;;;01.01.2023;;;[kg];[kg];[kg];[kg];[kg];[kg];[km];;[l/100km];[kWh/100km];[l/100km]/[kWh/100km];[kgco2e/kgFhz];[kgco2e/kWh];[kgco2e/kW];[kgco2e/kW];[kgco2e/kg];[%];[kgCO2e/l];[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;;[kgCO2e/l];;[kgCO2e/l];[kgCO2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];;[kg co2e/l];[kg co2e/l];[kg co2e/kWh];[kg co2e/kWh];[kWh];[kW];[kW];[kg];[kg];[kg co2e/kWh];[kg co2e/kg];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];[kg CO2e];;
Quelle;;;FZ27.11,KBA;aus Baseline 22;;ADAC (Modell);;ADAC;;;;KBA;KBA ;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;UBA,Aut;;DIN ;DIN ;;DIN ;DIN ;;;;;DIN ;DIN ;;;BA IFKM ;;Katja;Katja;;Katja;Katja;;;ADAC;ADAC;ADAC;UBA,Aut;UBA,Aut;;;;;;;;;;
description;;;; ;;;;;;;;;;;;;;;;;;an Gesamt Benzin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;eigene Berechnung ;eigene Berechnung ;eigene Berechnung ;;
vehicle_class;segments;used_model;number_of_cars_in_segment;share_of_segment_on_total_vehicles_of_class;total_number_of_cars_in_vehicle_class;average_vehicle_weight;average_vehicle_weight_without_driver;battery_weight;vehicleweight_w/o_battery;fueltank_weight_90_%_filled;glider_weight;mileage;energysupply;consumption_manufacturer_l;consumption_manufacturer_kWh;realconsumption;co2e_production;co2e_battery_production;co2e_electric_engine_bestcase;co2e_electric_engine;co2e_drivechain;share_E5_totalgasoline;co2e_E5_TtW;co2e_E5_WtW;share_E10_totalgasoline;co2e_E10_TtW;co2e_E10_WtW;share_superplus_totalgasoline;co2e_superplus_TtW;co2e_superplus_WtW;share_D7_totaldiesel;co2e_D7_TtW;co2e_D7_WtW;share_hvo_totaldiesel;co2e_hvo_TtW;co2e_hvo_WtW;share_ptl_totalgasoline;co2e_ptl_TtW;co2e_ptl_WtW;share_bioliq_totalgasoline;co2e_bioliq_TtW;co2e_bioliq_WtW;co2e_electricity_TtW;co2e_electricity_WtW;battery_capacity_brutto;power_electric_engine;power_electric_engine_2;weight_electric_engine;weight_electric_drivechain;co2e_savings_battery;co2e_savings_glider;emission_target_de_30;emission_target_de_40;emission_target_de_45;path_emission_2035;path_emission_2040;path_emission_2045;;
icev;Mini;Fiat500;2428846,44;0,099866253;24320993;1177;1102;0;1102;23,625;1078,375;12545;gasoline;4,8;0;5,8;7,2;82,5;1,7;4,5;42;0,87;2,3;2,8;0,05;2,18;2,72;0;2,3;2,8;0,955;2,48;3,15;0,045;0;0,51;0,035;0;0,48;0,045;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;56310666193;0;0;1270,5576;3085989302
icev;Kleinwagen;vw polo;6436101,93;0,264631544;24320993;1145;1070;0;1070;27;1043;12545;gasoline;4,4;0;5,4;7,2;82,5;1,7;4,5;42;0,87;2,3;2,8;0,05;2,18;2,72;0;2,3;2,8;0,955;2,48;3,15;0,045;0;0,51;0,035;0;0,48;0,045;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;56310666193;0;0;1164,6778;7495985038
icev;Kompaktklasse;Golf;8486096,81;0,348920655;24320993;1528;1453;0;1453;37,125;1415,875;12545;gasoline;4,7;0;6,1;7,2;82,5;1,7;4,5;42;0,87;2,3;2,8;0,05;2,18;2,72;0;2,3;2,8;0,955;2,48;3,15;0,045;0;0,51;0,035;0;0,48;0,045;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;5,78E+10;2,04E+10;0;56310666193;0;0;1244,08765;10557448236
icev;Mittelklasse;C-Klasse;5276656,134;0,447304763;11796557;1758;1683;0;1683;27;1656;12545;diesel;5,5;0;7,5;7,2;82,5;1,7;4,5;42;0,87;2,3;2,8;0,05;2,18;2,72;0;2,3;2,8;0,955;2,48;3,15;0,045;0;0,51;0,035;0;0,48;0,045;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;56310666193;0;0;1634,13679;8622777917
icev;obereMittelklasse;A6;1242269,791;0,049777291;24956557;1972;1897;0;1897;43,875;1853,125;12545;gasoline;7,4;0;8,3;7,2;82,5;1,7;4,5;42;0,87;2,3;2,8;0,05;2,18;2,72;0;2,3;2,8;0,955;2,48;3,15;0,045;0;0,51;0,035;0;0,48;0,045;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;56310666193;0;0;1958,7763;2433328625
icev;Oberklasse;S-Klasse;173710,9294;0,007142428;24320993;2080;2005;0;2005;43,83;1961,17;12545;gasoline;8,1;0;8,7;7,2;82,5;1,7;4,5;42;0,87;2,3;2,8;0,05;2,18;2,72;0;2,3;2,8;0,955;2,48;3,15;0,045;0;0,51;0,035;0;0,48;0,045;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;56310666193;0;0;2144,06595;372447688,9
icev;SUV;X1, ford kuga ;3488711,775;0,143444463;24320993;1698;1623;0;1623;34,425;1588,575;12545;gasoline;6,8;0;6,1;7,2;82,5;1,7;4,5;42;0,87;2,3;2,8;0,05;2,18;2,72;0;2,3;2,8;0,955;2,48;3,15;0,045;0;0,51;0,035;0;0,48;0,045;0;0,502;0;0,299;0;0;0;0;0;-20;-2,93;57800000000;20400000000;0;56310666193;0;0;1799,9566;6279529786
